Date,Time,Temp
2005-01-03,17:56:00,40
2005-01-03,18:56:00,40
2005-01-03,19:56:00,40
2005-01-03,20:56:00,40
2005-01-03,21:56:00,39
2005-01-03,22:56:00,40
2005-01-03,23:00:00,40
2005-01-03,23:56:00,39
2005-01-04,00:56:00,38
2005-01-04,01:38:00,34
2005-01-04,01:56:00,34
2005-01-04,02:56:00,39
2005-01-04,03:21:00,37
2005-01-04,03:32:00,37
2005-01-04,03:47:00,37
2005-01-04,03:56:00,38
2005-01-04,04:56:00,37
2005-01-04,05:00:00,37
2005-01-04,05:07:00,37
2005-01-04,05:21:00,37
2005-01-04,05:56:00,35
2005-01-04,06:56:00,35
2005-01-04,07:56:00,37
2005-01-04,08:11:00,37
2005-01-04,08:56:00,36
2005-01-04,09:39:00,37
2005-01-04,09:56:00,37
2005-01-04,10:56:00,39
2005-01-04,11:00:00,39
2005-01-04,11:56:00,40
2005-01-04,12:56:00,40
2005-01-04,13:42:00,41
2005-01-04,13:56:00,41
2005-01-04,14:21:00,43
2005-01-04,14:56:00,41
2005-01-04,15:42:00,39
2005-01-04,15:56:00,38
2005-01-04,16:37:00,36
2005-01-04,16:56:00,34
2005-01-04,17:00:00,34
2005-01-04,17:15:00,34
2005-01-04,17:29:00,34
2005-01-04,17:56:00,35
2005-01-04,18:56:00,35
2005-01-04,19:56:00,35
2005-01-04,20:07:00,36
2005-01-04,20:20:00,36
2005-01-04,20:56:00,36
2005-01-04,21:09:00,36
2005-01-04,21:56:00,36
2005-01-04,22:17:00,36
2005-01-04,22:56:00,36
2005-01-04,23:00:00,36
2005-01-04,23:19:00,36
2005-01-04,23:56:00,36
2005-01-05,00:15:00,36
2005-01-05,00:38:00,36
2005-01-05,00:56:00,36
2005-01-05,01:24:00,36
2005-01-05,01:56:00,36
2005-01-05,02:10:00,36
2005-01-05,02:20:00,36
2005-01-05,02:56:00,36
2005-01-05,03:56:00,36
2005-01-05,04:56:00,34
2005-01-05,05:00:00,34
2005-01-05,05:23:00,34
2005-01-05,05:43:00,34
2005-01-05,05:56:00,33
2005-01-05,06:56:00,32
2005-01-05,07:56:00,34
2005-01-05,08:56:00,34
2005-01-05,09:56:00,37
2005-01-05,10:56:00,38
2005-01-05,11:00:00,38
2005-01-05,11:56:00,39
2005-01-05,12:21:00,39
2005-01-05,12:56:00,40
2005-01-05,13:36:00,41
2005-01-05,13:56:00,41
2005-01-05,14:56:00,42
2005-01-05,15:56:00,42
2005-01-05,16:56:00,41
2005-01-05,17:00:00,41
2005-01-05,17:56:00,40
2005-01-05,18:56:00,38
2005-01-05,19:56:00,39
2005-01-05,20:56:00,38
2005-01-05,21:56:00,37
2005-01-05,22:56:00,33
2005-01-05,23:00:00,33
2005-01-05,23:56:00,32
2005-01-06,00:56:00,32
2005-01-06,01:56:00,32
2005-01-06,02:56:00,31
2005-01-06,03:56:00,30
2005-01-06,04:56:00,30
2005-01-06,05:00:00,30
2005-01-06,05:56:00,30
2005-01-06,06:56:00,29
2005-01-06,07:56:00,29
2005-01-06,08:56:00,34
2005-01-06,09:56:00,35
2005-01-06,10:56:00,41
2005-01-06,11:00:00,41
2005-01-06,11:56:00,43
2005-01-06,12:56:00,43
2005-01-06,13:56:00,44
2005-01-06,14:56:00,43
2005-01-06,15:56:00,42
2005-01-06,16:56:00,41
2005-01-06,17:00:00,41
2005-01-06,17:56:00,38
2005-01-06,18:56:00,35
2005-01-06,19:56:00,33
2005-01-06,20:56:00,34
2005-01-06,21:56:00,32
2005-01-06,22:56:00,31
2005-01-06,23:00:00,31
2005-01-06,23:56:00,32
2005-01-07,00:56:00,33
2005-01-07,01:56:00,33
2005-01-07,02:56:00,30
2005-01-07,03:56:00,32
2005-01-07,04:56:00,30
2005-01-07,05:00:00,30
2005-01-07,05:56:00,32
2005-01-07,06:49:00,30
2005-01-07,06:56:00,31
2005-01-07,07:56:00,31
2005-01-07,08:56:00,32
2005-01-07,09:56:00,35
2005-01-07,10:56:00,33
2005-01-07,11:00:00,33
2005-01-07,11:36:00,34
2005-01-07,11:46:00,34
2005-01-07,11:56:00,33
2005-01-07,12:03:00,34
2005-01-07,12:16:00,34
2005-01-07,12:32:00,34
2005-01-07,12:56:00,32
2005-01-07,13:07:00,32
2005-01-07,13:22:00,32
2005-01-07,13:40:00,34
2005-01-07,13:42:00,34
2005-01-07,13:56:00,33
2005-01-07,14:22:00,36
2005-01-07,14:56:00,36
2005-01-07,15:56:00,37
2005-01-07,16:56:00,37
2005-01-07,17:00:00,37
2005-01-07,17:56:00,37
2005-01-07,18:56:00,38
2005-01-07,19:56:00,39
2005-01-07,20:56:00,40
2005-01-07,21:56:00,40
2005-01-07,22:56:00,40
2005-01-07,23:00:00,40
2005-01-07,23:56:00,39
2005-01-08,00:29:00,39
2005-01-08,00:56:00,41
2005-01-08,01:56:00,39
2005-01-08,02:22:00,39
2005-01-08,02:56:00,40
2005-01-08,03:39:00,39
2005-01-08,03:56:00,41
2005-01-08,04:56:00,46
2005-01-08,05:00:00,46
2005-01-08,05:56:00,45
2005-01-08,06:56:00,46
2005-01-08,07:56:00,47
2005-01-08,08:11:00,48
2005-01-08,08:41:00,43
2005-01-08,08:56:00,44
2005-01-08,09:21:00,45
2005-01-08,09:29:00,46
2005-01-08,09:56:00,52
2005-01-08,10:56:00,52
2005-01-08,11:00:00,52
2005-01-08,11:56:00,54
2005-01-08,12:56:00,53
2005-01-08,13:56:00,51
2005-01-08,14:56:00,52
2005-01-08,15:56:00,52
2005-01-08,16:56:00,51
2005-01-08,17:00:00,51
2005-01-08,17:56:00,51
2005-01-08,18:56:00,52
2005-01-08,19:56:00,51
2005-01-08,20:56:00,52
2005-01-08,21:56:00,52
2005-01-08,22:56:00,52
2005-01-08,23:00:00,52
2005-01-08,23:56:00,51
2005-01-09,00:56:00,50
2005-01-09,01:56:00,49
2005-01-09,02:56:00,48
2005-01-09,03:56:00,51
2005-01-09,04:56:00,51
2005-01-09,05:00:00,51
2005-01-09,05:56:00,48
2005-01-09,06:56:00,49
2005-01-09,07:56:00,49
2005-01-09,08:56:00,50
2005-01-09,09:56:00,50
2005-01-09,10:56:00,54
2005-01-09,11:00:00,54
2005-01-09,11:56:00,56
2005-01-09,12:56:00,54
2005-01-09,13:56:00,54
2005-01-09,14:34:00,52
2005-01-09,14:48:00,52
2005-01-09,14:56:00,52
2005-01-09,15:17:00,52
2005-01-09,15:56:00,51
2005-01-09,16:16:00,52
2005-01-09,16:30:00,52
2005-01-09,16:56:00,50
2005-01-09,17:00:00,50
2005-01-09,17:23:00,52
2005-01-09,17:56:00,51
2005-01-09,18:56:00,50
2005-01-09,19:56:00,52
2005-01-09,20:56:00,52
2005-01-09,21:56:00,51
2005-01-09,22:56:00,51
2005-01-09,23:00:00,51
2005-01-09,23:56:00,52
2005-01-10,00:56:00,50
2005-01-10,01:56:00,50
2005-01-10,02:03:00,50
2005-01-10,02:56:00,50
2005-01-10,03:56:00,47
2005-01-10,04:56:00,47
2005-01-10,05:00:00,47
2005-01-10,05:56:00,45
2005-01-10,06:56:00,46
2005-01-10,07:56:00,47
2005-01-10,08:56:00,49
2005-01-10,09:56:00,50
2005-01-10,10:56:00,51
2005-01-10,11:00:00,51
2005-01-10,11:56:00,56
2005-01-10,12:56:00,55
2005-01-10,13:56:00,56
2005-01-10,14:56:00,58
2005-01-10,15:56:00,56
2005-01-10,16:56:00,55
2005-01-10,17:00:00,55
2005-01-10,17:56:00,53
2005-01-10,18:56:00,53
2005-01-10,19:56:00,53
2005-01-10,20:56:00,52
2005-01-10,21:56:00,52
2005-01-10,22:56:00,53
2005-01-10,23:00:00,53
2005-01-10,23:56:00,53
2005-01-11,00:56:00,53
2005-01-11,01:56:00,54
2005-01-11,02:56:00,53
2005-01-11,03:56:00,54
2005-01-11,04:56:00,51
2005-01-11,05:00:00,51
2005-01-11,05:56:00,50
2005-01-11,06:56:00,51
2005-01-11,07:56:00,50
2005-01-11,08:56:00,50
2005-01-11,09:56:00,52
2005-01-11,10:56:00,53
2005-01-11,11:00:00,53
2005-01-11,11:56:00,53
2005-01-11,12:56:00,56
2005-01-11,13:56:00,51
2005-01-11,14:15:00,48
2005-01-11,14:26:00,50
2005-01-11,14:49:00,46
2005-01-11,14:56:00,47
2005-01-11,15:56:00,47
2005-01-11,16:56:00,44
2005-01-11,17:00:00,44
2005-01-11,17:56:00,42
2005-01-11,18:56:00,40
2005-01-11,19:56:00,38
2005-01-11,20:56:00,38
2005-01-11,21:56:00,38
2005-01-11,22:56:00,38
2005-01-11,23:00:00,38
2005-01-11,23:56:00,37
2005-01-12,00:56:00,37
2005-01-12,01:56:00,35
2005-01-12,02:56:00,38
2005-01-12,03:56:00,36
2005-01-12,04:56:00,34
2005-01-12,05:00:00,34
2005-01-12,05:56:00,34
2005-01-12,06:56:00,36
2005-01-12,07:56:00,33
2005-01-12,08:56:00,39
2005-01-12,09:56:00,41
2005-01-12,10:56:00,43
2005-01-12,11:00:00,43
2005-01-12,11:56:00,45
2005-01-12,12:56:00,46
2005-01-12,13:56:00,48
2005-01-12,14:56:00,48
2005-01-12,15:56:00,48
2005-01-12,16:56:00,45
2005-01-12,17:00:00,45
2005-01-12,17:56:00,40
2005-01-12,18:56:00,36
2005-01-12,19:56:00,36
2005-01-12,20:56:00,36
2005-01-12,21:56:00,35
2005-01-12,22:56:00,33
2005-01-12,23:00:00,33
2005-01-12,23:56:00,32
2005-01-13,00:56:00,34
2005-01-13,01:56:00,33
2005-01-13,02:56:00,30
2005-01-13,03:56:00,32
2005-01-13,04:56:00,30
2005-01-13,05:00:00,30
2005-01-13,05:56:00,28
2005-01-13,06:56:00,30
2005-01-13,07:56:00,30
2005-01-13,08:56:00,33
2005-01-13,09:56:00,40
2005-01-13,10:56:00,43
2005-01-13,11:00:00,43
2005-01-13,11:56:00,45
2005-01-13,12:56:00,47
2005-01-13,13:56:00,49
2005-01-13,14:56:00,47
2005-01-13,15:56:00,46
2005-01-13,16:56:00,44
2005-01-13,17:00:00,44
2005-01-13,17:56:00,42
2005-01-13,18:56:00,40
2005-01-13,19:56:00,41
2005-01-13,20:56:00,38
2005-01-13,21:56:00,37
2005-01-13,22:56:00,36
2005-01-13,23:00:00,36
2005-01-13,23:56:00,38
2005-01-14,00:56:00,35
2005-01-14,01:56:00,33
2005-01-14,02:56:00,35
2005-01-14,03:56:00,36
2005-01-14,04:56:00,34
2005-01-14,05:00:00,34
2005-01-14,05:56:00,33
2005-01-14,06:56:00,34
2005-01-14,07:56:00,35
2005-01-14,08:56:00,37
2005-01-14,09:56:00,41
2005-01-14,10:56:00,45
2005-01-14,11:00:00,45
2005-01-14,11:56:00,47
2005-01-14,12:56:00,48
2005-01-14,13:56:00,50
2005-01-14,14:56:00,51
2005-01-14,15:56:00,52
2005-01-14,16:56:00,50
2005-01-14,17:00:00,50
2005-01-14,17:56:00,42
2005-01-14,18:56:00,40
2005-01-14,19:56:00,38
2005-01-14,20:56:00,37
2005-01-14,21:56:00,35
2005-01-14,22:56:00,36
2005-01-14,23:00:00,36
2005-01-14,23:56:00,34
2005-01-15,00:56:00,35
2005-01-15,01:56:00,35
2005-01-15,02:56:00,32
2005-01-15,03:56:00,33
2005-01-15,04:56:00,32
2005-01-15,05:00:00,32
2005-01-15,05:56:00,34
2005-01-15,06:56:00,30
2005-01-15,07:56:00,31
2005-01-15,08:56:00,41
2005-01-15,09:56:00,44
2005-01-15,10:56:00,47
2005-01-15,11:00:00,47
2005-01-15,11:56:00,49
2005-01-15,12:56:00,51
2005-01-15,13:56:00,54
2005-01-15,14:56:00,55
2005-01-15,15:56:00,56
2005-01-15,16:56:00,55
2005-01-15,17:00:00,55
2005-01-15,17:56:00,48
2005-01-15,18:56:00,42
2005-01-15,19:56:00,40
2005-01-15,20:56:00,39
2005-01-15,21:56:00,38
2005-01-15,22:56:00,40
2005-01-15,23:00:00,40
2005-01-15,23:56:00,41
2005-01-16,00:56:00,39
2005-01-16,01:56:00,38
2005-01-16,02:56:00,38
2005-01-16,03:56:00,38
2005-01-16,04:56:00,34
2005-01-16,05:00:00,34
2005-01-16,05:56:00,36
2005-01-16,06:56:00,34
2005-01-16,07:56:00,34
2005-01-16,08:56:00,42
2005-01-16,09:56:00,49
2005-01-16,10:56:00,50
2005-01-16,11:00:00,50
2005-01-16,11:56:00,52
2005-01-16,12:56:00,54
2005-01-16,13:56:00,58
2005-01-16,14:56:00,59
2005-01-16,15:56:00,59
2005-01-16,16:56:00,55
2005-01-16,17:56:00,50
2005-01-16,18:56:00,45
2005-01-16,19:56:00,44
2005-01-16,20:56:00,46
2005-01-16,21:56:00,46
2005-01-16,22:56:00,44
2005-01-16,23:00:00,44
2005-01-16,23:56:00,43
2005-01-17,00:56:00,40
2005-01-17,01:56:00,42
2005-01-17,02:56:00,37
2005-01-17,03:56:00,41
2005-01-17,04:56:00,39
2005-01-17,05:00:00,39
2005-01-17,05:56:00,37
2005-01-17,06:56:00,38
2005-01-17,07:56:00,40
2005-01-17,08:56:00,46
2005-01-17,09:56:00,50
2005-01-17,10:56:00,52
2005-01-17,11:00:00,52
2005-01-17,11:56:00,56
2005-01-17,12:56:00,56
2005-01-17,13:56:00,57
2005-01-17,14:56:00,60
2005-01-17,15:56:00,60
2005-01-17,16:56:00,58
2005-01-17,17:00:00,58
2005-01-17,17:56:00,51
2005-01-17,18:56:00,47
2005-01-17,19:56:00,47
2005-01-17,20:56:00,46
2005-01-17,21:56:00,43
2005-01-17,22:56:00,45
2005-01-17,23:00:00,45
2005-01-17,23:56:00,45
2005-01-18,00:56:00,47
2005-01-18,01:56:00,46
2005-01-18,02:56:00,43
2005-01-18,03:56:00,48
2005-01-18,04:56:00,40
2005-01-18,05:00:00,40
2005-01-18,05:56:00,37
2005-01-18,06:56:00,39
2005-01-18,07:56:00,40
2005-01-18,08:56:00,44
2005-01-18,09:56:00,49
2005-01-18,10:56:00,52
2005-01-18,11:00:00,52
2005-01-18,11:56:00,55
2005-01-18,12:56:00,57
2005-01-18,13:56:00,60
2005-01-18,14:56:00,60
2005-01-18,15:56:00,60
2005-01-18,16:56:00,59
2005-01-18,17:00:00,59
2005-01-18,17:56:00,54
2005-01-18,18:56:00,50
2005-01-18,19:56:00,48
2005-01-18,20:56:00,44
2005-01-18,21:56:00,44
2005-01-18,22:56:00,49
2005-01-18,23:00:00,49
2005-01-18,23:56:00,47
2005-01-19,00:56:00,43
2005-01-19,01:56:00,47
2005-01-19,02:56:00,40
2005-01-19,03:56:00,40
2005-01-19,04:56:00,44
2005-01-19,05:00:00,44
2005-01-19,05:56:00,41
2005-01-19,06:56:00,43
2005-01-19,07:56:00,40
2005-01-19,08:56:00,48
2005-01-19,09:56:00,52
2005-01-19,10:56:00,55
2005-01-19,11:00:00,55
2005-01-19,11:56:00,58
2005-01-19,12:56:00,60
2005-01-19,13:56:00,62
2005-01-19,14:56:00,64
2005-01-19,15:56:00,65
2005-01-19,16:56:00,62
2005-01-19,17:00:00,62
2005-01-19,17:56:00,55
2005-01-19,18:56:00,50
2005-01-19,19:56:00,48
2005-01-19,20:56:00,46
2005-01-19,21:56:00,46
2005-01-19,22:56:00,46
2005-01-19,23:00:00,46
2005-01-19,23:56:00,45
2005-01-20,00:56:00,51
2005-01-20,01:56:00,45
2005-01-20,02:56:00,47
2005-01-20,03:56:00,42
2005-01-20,04:56:00,38
2005-01-20,05:00:00,38
2005-01-20,05:56:00,40
2005-01-20,06:56:00,39
2005-01-20,07:56:00,40
2005-01-20,08:56:00,50
2005-01-20,09:56:00,53
2005-01-20,10:56:00,58
2005-01-20,11:00:00,58
2005-01-20,11:56:00,59
2005-01-20,12:56:00,63
2005-01-20,13:56:00,63
2005-01-20,14:56:00,64
2005-01-20,15:56:00,63
2005-01-20,16:56:00,60
2005-01-20,17:00:00,60
2005-01-20,17:56:00,57
2005-01-20,18:56:00,52
2005-01-20,19:56:00,50
2005-01-20,20:56:00,49
2005-01-20,21:56:00,48
2005-01-20,22:56:00,48
2005-01-20,23:00:00,48
2005-01-20,23:56:00,46
2005-01-21,00:56:00,47
2005-01-21,01:56:00,45
2005-01-21,02:56:00,44
2005-01-21,03:56:00,42
2005-01-21,04:56:00,42
2005-01-21,05:00:00,42
2005-01-21,05:56:00,47
2005-01-21,06:56:00,45
2005-01-21,07:56:00,45
2005-01-21,08:56:00,47
2005-01-21,09:56:00,50
2005-01-21,10:56:00,53
2005-01-21,11:00:00,53
2005-01-21,11:56:00,55
2005-01-21,12:56:00,58
2005-01-21,13:56:00,58
2005-01-21,14:56:00,58
2005-01-21,15:56:00,59
2005-01-21,16:56:00,57
2005-01-21,17:00:00,57
2005-01-21,17:56:00,52
2005-01-21,18:56:00,47
2005-01-21,19:56:00,48
2005-01-21,20:56:00,47
2005-01-21,21:56:00,43
2005-01-21,22:56:00,41
2005-01-21,23:00:00,41
2005-01-21,23:56:00,42
2005-01-22,00:56:00,41
2005-01-22,01:56:00,39
2005-01-22,02:56:00,38
2005-01-22,03:56:00,39
2005-01-22,04:56:00,42
2005-01-22,05:00:00,42
2005-01-22,05:56:00,37
2005-01-22,06:56:00,37
2005-01-22,07:56:00,43
2005-01-22,08:56:00,48
2005-01-22,09:56:00,51
2005-01-22,10:56:00,54
2005-01-22,11:00:00,54
2005-01-22,11:56:00,60
2005-01-22,12:56:00,61
2005-01-22,13:56:00,62
2005-01-22,14:56:00,64
2005-01-22,15:56:00,63
2005-01-22,16:56:00,60
2005-01-22,17:00:00,60
2005-01-22,17:56:00,55
2005-01-22,18:56:00,51
2005-01-22,19:56:00,48
2005-01-22,20:56:00,50
2005-01-22,21:56:00,49
2005-01-22,22:56:00,45
2005-01-22,23:00:00,45
2005-01-22,23:56:00,45
2005-01-23,00:56:00,43
2005-01-23,01:56:00,44
2005-01-23,02:56:00,42
2005-01-23,03:56:00,41
2005-01-23,04:56:00,41
2005-01-23,05:00:00,41
2005-01-23,05:56:00,41
2005-01-23,06:56:00,41
2005-01-23,07:56:00,39
2005-01-23,08:56:00,49
2005-01-23,09:56:00,52
2005-01-23,10:56:00,56
2005-01-23,11:00:00,56
2005-01-23,11:56:00,59
2005-01-23,12:56:00,62
2005-01-23,13:56:00,64
2005-01-23,14:56:00,64
2005-01-23,15:56:00,64
2005-01-23,16:56:00,61
2005-01-23,17:00:00,61
2005-01-23,17:56:00,55
2005-01-23,18:56:00,51
2005-01-23,19:56:00,51
2005-01-23,20:56:00,49
2005-01-23,21:56:00,47
2005-01-23,22:56:00,46
2005-01-23,23:00:00,46
2005-01-23,23:56:00,45
2005-01-24,00:56:00,46
2005-01-24,01:56:00,47
2005-01-24,02:56:00,45
2005-01-24,03:56:00,47
2005-01-24,04:56:00,48
2005-01-24,05:00:00,48
2005-01-24,05:56:00,44
2005-01-24,06:56:00,50
2005-01-24,07:56:00,45
2005-01-24,08:56:00,49
2005-01-24,09:56:00,52
2005-01-24,10:56:00,54
2005-01-24,11:00:00,54
2005-01-24,11:56:00,56
2005-01-24,12:56:00,57
2005-01-24,13:56:00,58
2005-01-24,14:56:00,59
2005-01-24,15:56:00,57
2005-01-24,16:56:00,56
2005-01-24,17:00:00,56
2005-01-24,17:56:00,52
2005-01-24,18:56:00,48
2005-01-24,19:56:00,47
2005-01-24,20:56:00,46
2005-01-24,21:56:00,46
2005-01-24,22:56:00,45
2005-01-24,23:00:00,45
2005-01-24,23:56:00,43
2005-01-25,00:56:00,45
2005-01-25,01:56:00,42
2005-01-25,02:56:00,43
2005-01-25,03:56:00,41
2005-01-25,04:56:00,45
2005-01-25,05:00:00,45
2005-01-25,05:56:00,48
2005-01-25,06:56:00,46
2005-01-25,07:56:00,44
2005-01-25,08:56:00,48
2005-01-25,09:56:00,54
2005-01-25,10:56:00,55
2005-01-25,11:00:00,55
2005-01-25,11:56:00,57
2005-01-25,12:56:00,58
2005-01-25,13:56:00,58
2005-01-25,14:56:00,59
2005-01-25,15:56:00,59
2005-01-25,16:56:00,58
2005-01-25,17:00:00,58
2005-01-25,17:56:00,55
2005-01-25,18:56:00,51
2005-01-25,19:56:00,48
2005-01-25,20:56:00,47
2005-01-25,21:56:00,47
2005-01-25,22:56:00,48
2005-01-25,23:00:00,48
2005-01-25,23:56:00,47
2005-01-26,00:56:00,46
2005-01-26,01:56:00,47
2005-01-26,02:56:00,48
2005-01-26,03:56:00,47
2005-01-26,04:56:00,48
2005-01-26,05:00:00,48
2005-01-26,05:56:00,48
2005-01-26,06:56:00,48
2005-01-26,07:34:00,48
2005-01-26,07:56:00,47
2005-01-26,08:02:00,46
2005-01-26,08:10:00,46
2005-01-26,08:23:00,46
2005-01-26,08:37:00,48
2005-01-26,08:56:00,47
2005-01-26,09:56:00,49
2005-01-26,10:56:00,48
2005-01-26,11:00:00,48
2005-01-26,11:56:00,49
2005-01-26,12:56:00,50
2005-01-26,13:16:00,50
2005-01-26,13:56:00,50
2005-01-26,14:56:00,49
2005-01-26,15:56:00,49
2005-01-26,16:56:00,48
2005-01-26,17:00:00,48
2005-01-26,17:06:00,48
2005-01-26,17:43:00,48
2005-01-26,17:56:00,48
2005-01-26,18:56:00,47
2005-01-26,19:56:00,47
2005-01-26,20:06:00,46
2005-01-26,20:14:00,46
2005-01-26,20:21:00,46
2005-01-26,20:56:00,48
2005-01-26,21:56:00,47
2005-01-26,22:56:00,46
2005-01-26,23:00:00,46
2005-01-26,23:56:00,46
2005-01-27,00:56:00,47
2005-01-27,01:56:00,45
2005-01-27,02:56:00,47
2005-01-27,03:56:00,46
2005-01-27,04:18:00,45
2005-01-27,04:56:00,45
2005-01-27,05:00:00,45
2005-01-27,05:56:00,44
2005-01-27,06:56:00,42
2005-01-27,07:56:00,41
2005-01-27,08:56:00,46
2005-01-27,09:56:00,45
2005-01-27,10:10:00,45
2005-01-27,10:27:00,45
2005-01-27,10:56:00,45
2005-01-27,11:00:00,45
2005-01-27,11:05:00,45
2005-01-27,11:48:00,45
2005-01-27,11:56:00,45
2005-01-27,12:27:00,46
2005-01-27,12:56:00,48
2005-01-27,13:56:00,49
2005-01-27,14:56:00,51
2005-01-27,15:56:00,51
2005-01-27,16:56:00,48
2005-01-27,17:00:00,48
2005-01-27,17:56:00,47
2005-01-27,18:56:00,47
2005-01-27,19:56:00,46
2005-01-27,20:56:00,43
2005-01-27,21:56:00,43
2005-01-27,22:56:00,41
2005-01-27,23:00:00,41
2005-01-27,23:56:00,40
2005-01-28,00:56:00,39
2005-01-28,01:56:00,38
2005-01-28,02:56:00,37
2005-01-28,03:56:00,37
2005-01-28,04:56:00,39
2005-01-28,05:00:00,39
2005-01-28,05:56:00,34
2005-01-28,06:56:00,33
2005-01-28,07:56:00,35
2005-01-28,08:56:00,39
2005-01-28,09:56:00,47
2005-01-28,10:56:00,49
2005-01-28,11:00:00,49
2005-01-28,11:56:00,50
2005-01-28,12:56:00,52
2005-01-28,13:56:00,54
2005-01-28,14:56:00,54
2005-01-28,15:56:00,53
2005-01-28,16:56:00,50
2005-01-28,17:00:00,50
2005-01-28,17:56:00,49
2005-01-28,18:56:00,48
2005-01-28,19:56:00,47
2005-01-28,20:56:00,47
2005-01-28,21:56:00,45
2005-01-28,22:56:00,42
2005-01-28,23:00:00,42
2005-01-28,23:46:00,41
2005-01-28,23:56:00,41
2005-01-29,00:05:00,41
2005-01-29,00:16:00,39
2005-01-29,00:56:00,38
2005-01-29,01:56:00,33
2005-01-29,02:12:00,34
2005-01-29,02:38:00,34
2005-01-29,02:56:00,35
2005-01-29,03:39:00,37
2005-01-29,03:56:00,36
2005-01-29,04:56:00,37
2005-01-29,05:00:00,37
2005-01-29,05:56:00,36
2005-01-29,06:56:00,36
2005-01-29,07:42:00,37
2005-01-29,07:56:00,37
2005-01-29,08:16:00,37
2005-01-29,08:56:00,39
2005-01-29,09:56:00,39
2005-01-29,10:56:00,41
2005-01-29,11:00:00,41
2005-01-29,11:46:00,41
2005-01-29,11:56:00,42
2005-01-29,12:25:00,43
2005-01-29,12:36:00,43
2005-01-29,12:56:00,44
2005-01-29,13:56:00,44
2005-01-29,14:36:00,43
2005-01-29,14:56:00,44
2005-01-29,15:09:00,43
2005-01-29,15:30:00,43
2005-01-29,15:56:00,43
2005-01-29,16:42:00,43
2005-01-29,16:56:00,41
2005-01-29,17:00:00,41
2005-01-29,17:34:00,43
2005-01-29,17:56:00,41
2005-01-29,18:56:00,41
2005-01-29,19:56:00,41
2005-01-29,20:56:00,41
2005-01-29,21:45:00,43
2005-01-29,21:56:00,42
2005-01-29,22:08:00,43
2005-01-29,22:21:00,41
2005-01-29,22:33:00,41
2005-01-29,22:56:00,41
2005-01-29,23:00:00,41
2005-01-29,23:09:00,41
2005-01-29,23:56:00,40
2005-01-30,00:22:00,39
2005-01-30,00:44:00,39
2005-01-30,00:56:00,39
2005-01-30,01:06:00,37
2005-01-30,01:56:00,40
2005-01-30,02:17:00,39
2005-01-30,02:29:00,39
2005-01-30,02:56:00,40
2005-01-30,03:56:00,39
2005-01-30,04:56:00,41
2005-01-30,05:00:00,41
2005-01-30,05:56:00,40
2005-01-30,06:04:00,39
2005-01-30,06:27:00,39
2005-01-30,06:56:00,39
2005-01-30,07:56:00,37
2005-01-30,08:56:00,41
2005-01-30,09:56:00,44
2005-01-30,10:56:00,47
2005-01-30,11:00:00,47
2005-01-30,11:56:00,48
